,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203526,00,0,27,3,10.8,1.1,3.1,0.365,0.4,1.3,0.324,0.5,0.5,0.929,0.2,1.1,1.3,0.9,0.2,0.0,0.3,1.0,3.2
0,1627777,00,0,24,0,13.1,1.9,4.5,0.413,1.1,3.1,0.36,0.3,0.3,1.0,0.3,1.8,2.0,0.7,0.1,0.1,0.5,1.5,5.1
0,1630192,00,0,6,0,3.6,0.8,1.5,0.556,0.7,1.3,0.5,0.2,0.3,0.5,0.2,0.2,0.3,0.3,0.2,0.0,0.0,0.3,2.5
0,203457,00,0,17,2,14.7,1.5,2.8,0.532,0.0,0.1,0.0,1.1,1.6,0.643,1.5,2.5,4.0,0.2,0.5,0.6,0.6,2.3,4.0
0,1628373,00,0,3,0,1.2,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1629134,00,0,19,2,17.5,2.8,7.1,0.393,0.9,3.2,0.279,0.5,0.5,1.0,0.2,1.8,2.0,1.4,0.3,0.2,0.8,1.3,7.0
0,203994,00,0,16,16,27.8,4.7,9.6,0.487,0.3,1.1,0.235,2.8,3.7,0.763,2.8,7.1,9.8,2.6,1.0,0.9,2.1,4.1,12.4
0,1629670,00,0,5,0,6.2,0.8,3.6,0.222,0.4,1.6,0.25,1.0,1.4,0.714,1.0,0.8,1.8,0.2,0.0,0.2,0.2,0.2,3.0
0,1626220,00,0,35,24,30.8,3.0,6.4,0.475,1.6,3.9,0.419,0.8,1.2,0.683,0.8,4.5,5.3,1.9,0.9,0.3,1.3,3.3,8.5
0,1630168,00,0,19,1,9.8,0.9,1.8,0.529,0.0,0.1,0.0,0.8,1.2,0.652,1.3,1.6,2.9,0.2,0.3,0.7,0.2,1.7,2.7
